Location,Crop,Year,Site_crop_yr,CRD,Rep,EU,Soil,Herb,CYInjury,Crop Canopy,yield,Stand Count
Arlington,Corn,2020,ARL_CN_20,Y,1,108,CC,CTRL,0,13.695,14288.74888,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,2,210,CC,CTRL,0,16.545,16436.83704,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,3,303,CC,CTRL,0,16.5425,12694.98674,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,4,413,CC,CTRL,0,18.04,15489.60428,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,1,103,CC,FO25,0,15.795,14041.93827,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,2,203,CC,FO25,0,14.485,13225.18761,96237.81861
Arlington,Corn,2020,ARL_CN_20,Y,3,310,CC,FO25,0,15.0175,16961.29083,96237.81861
Arlington,Corn,2020,ARL_CN_20,Y,3,315,CC,FO25,0,19.535,15002.63508,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,1,115,CC,FO50,0,16.0075,15982.91232,78740.03341
Arlington,Corn,2020,ARL_CN_20,Y,2,208,CC,FO50,0,18.71,17174.97231,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,4,403,CC,FO50,2,17.8175,9211.664863,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,1,110,CC,IM25,0,17.375,15791.63398,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,2,215,CC,IM25,0,20.295,17593.79622,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,3,313,CC,IM25,0,18.18,16294.13537,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,4,408,CC,IM25,0,18.3475,16215.95562,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,4,415,CC,IM25,0,20.075,13323.58333,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,1,113,CC,IM50,0,13.78,15800.6723,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,2,213,CC,IM50,0,19.275,16120.42253,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,3,308,CC,IM50,0,18.3275,17301.59518,96237.81861
Arlington,Corn,2020,ARL_CN_20,Y,4,410,CC,IM50,0,14.33,15145.57399,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,1,112,NT,CTRL,0,20.39,16497.6579,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,3,304,NT,CTRL,0,19.285,13113.91424,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,4,409,NT,CTRL,0,15.685,14986.27695,83114.47971
Arlington,Corn,2020,ARL_CN_20,Y,1,102,NT,FO25,0,15.625,14663.2895,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,2,204,NT,FO25,0,17.15,13764.66728,96237.81861
Arlington,Corn,2020,ARL_CN_20,Y,2,209,NT,FO25,0,19.68,15260.7422,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,3,302,NT,FO25,0,17.0875,12235.47007,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,4,404,NT,FO25,0,17.5225,13115.91392,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,4,405,NT,FO25,0,17.64,15716.33675,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,4,412,NT,FO25,0,21.9925,15866.02804,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,1,109,NT,FO50,0,15.4075,15683.54974,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,3,305,NT,FO50,0,19.525,14699.15742,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,3,309,NT,FO50,0,16.0625,17728.64486,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,1,105,NT,IM25,0,16.9875,15240.10955,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,2,205,NT,IM25,0,17.625,15545.22016,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,2,212,NT,IM25,0,21.19,17186.69011,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,3,312,NT,IM25,0,20.495,18081.91048,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,4,402,NT,IM25,0,17.1525,11216.32898,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,1,104,NT,IM50,0,18.1225,13759.33697,96237.81861
Arlington,Corn,2020,ARL_CN_20,Y,2,202,NT,IM50,0,16.79,13729.43894,83114.47971
Arlington,Corn,2020,ARL_CN_20,Y,1,101,Till,CTRL,0,15.4675,14388.66659,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,2,201,Till,CTRL,0,14.5775,13730.46098,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,2,207,Till,CTRL,0,18.0375,16909.62168,96237.81861
Arlington,Corn,2020,ARL_CN_20,Y,3,307,Till,CTRL,0,17.4325,15787.76412,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,4,411,Till,CTRL,0,17.2275,16196.84909,74365.58711
Arlington,Corn,2020,ARL_CN_20,Y,1,107,Till,FO50,2,17.2825,15846.12053,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,2,211,Till,FO50,0,18.12,15794.27833,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,2,214,Till,FO50,0,19.995,17256.55854,96237.81861
Arlington,Corn,2020,ARL_CN_20,Y,3,311,Till,FO50,0,15.95,15827.99257,83114.47971
Arlington,Corn,2020,ARL_CN_20,Y,4,401,Till,FO50,2,19.5625,11357.64466,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,4,407,Till,FO50,3,18.545,15804.28688,87488.92601
Arlington,Corn,2020,ARL_CN_20,Y,1,114,Till,IM25,0,15.565,14809.68807,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,3,306,Till,IM25,0,18.0525,16668.67552,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,1,111,Till,IM50,0,16.685,14915.67784,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,2,206,Till,IM50,0,19.51,16060.85679,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,3,301,Till,IM50,0,17.0625,13238.73398,96237.81861
Arlington,Corn,2020,ARL_CN_20,Y,3,314,Till,IM50,0,17.1425,15727.29704,74365.58711
Arlington,Corn,2020,ARL_CN_20,Y,4,406,Till,IM50,0,18.055,15438.53578,91863.37231
Arlington,Corn,2020,ARL_CN_20,Y,4,414,Till,IM50,0,19.0675,16159.40049,91863.37231
