Crop,Year,Site_crop_yr,Rep,Site_Crop_Yr,EU,Soil,Herb,Canopy,Biomass,Biomass_kg
Corn,2019,ARL_CN_19,1,ARL_CN_19,103,CC,FO50,,8.1,290.50164
Corn,2019,ARL_CN_19,1,ARL_CN_19,105,CC,IM50,,7.7,276.15588
Corn,2019,ARL_CN_19,1,ARL_CN_19,109,CC,FO25,,8.3,297.67452
Corn,2019,ARL_CN_19,1,ARL_CN_19,112,CC,IM25,,6.4,229.53216
Corn,2019,ARL_CN_19,1,ARL_CN_19,114,CC,CTRL,,6.9,247.46436
Corn,2019,ARL_CN_19,2,ARL_CN_19,203,CC,IM50,,7.5,268.983
Corn,2019,ARL_CN_19,2,ARL_CN_19,205,CC,FO25,,13.7,491.34228
Corn,2019,ARL_CN_19,2,ARL_CN_19,209,CC,FO50,,7.7,276.15588
Corn,2019,ARL_CN_19,2,ARL_CN_19,212,CC,CTRL,,8.2,294.08808
Corn,2019,ARL_CN_19,2,ARL_CN_19,214,CC,IM25,,3.1,111.17964
Corn,2019,ARL_CN_19,3,ARL_CN_19,303,CC,FO25,,9.5,340.7118
Corn,2019,ARL_CN_19,3,ARL_CN_19,305,CC,IM25,,7,251.0508
Corn,2019,ARL_CN_19,3,ARL_CN_19,309,CC,CTRL,,9,322.7796
Corn,2019,ARL_CN_19,3,ARL_CN_19,312,CC,IM50,,9.5,340.7118
Corn,2019,ARL_CN_19,3,ARL_CN_19,314,CC,FO50,,5.7,204.42708
Corn,2019,ARL_CN_19,4,ARL_CN_19,403,CC,IM25,,9.5,340.7118
Corn,2019,ARL_CN_19,4,ARL_CN_19,405,CC,IM50,,11.6,416.02704
Corn,2019,ARL_CN_19,4,ARL_CN_19,409,CC,FO25,,11.7,419.61348
Corn,2019,ARL_CN_19,4,ARL_CN_19,412,CC,FO50,,16,573.8304
Corn,2019,ARL_CN_19,4,ARL_CN_19,414,CC,CTRL,,10,358.644
Corn,2020,ARL_CN_20,1,ARL_CN_20,103,CC,FO25,28.31,16.88,605.391072
Corn,2020,ARL_CN_20,1,ARL_CN_20,108,CC,CTRL,34.46666667,33.95,1217.59638
Corn,2020,ARL_CN_20,1,ARL_CN_20,110,CC,IM25,43.98666667,38.49,1380.420756
Corn,2020,ARL_CN_20,1,ARL_CN_20,113,CC,IM50,46.86333333,21.06,755.304264
Corn,2020,ARL_CN_20,1,ARL_CN_20,115,CC,FO50,37.61666667,29.75,1066.9659
Corn,2020,ARL_CN_20,2,ARL_CN_20,203,CC,FO25,35.34333333,18.41,660.263604
Corn,2020,ARL_CN_20,2,ARL_CN_20,208,CC,FO50,50.73666667,36.93,1324.472292
Corn,2020,ARL_CN_20,2,ARL_CN_20,210,CC,CTRL,42.34,30.01,1076.290644
Corn,2020,ARL_CN_20,2,ARL_CN_20,213,CC,IM50,35.55333333,12.79,458.705676
Corn,2020,ARL_CN_20,2,ARL_CN_20,215,CC,IM25,39.08,38.06,1364.999064
Corn,2020,ARL_CN_20,3,ARL_CN_20,303,CC,CTRL,34.75,20.77,744.903588
Corn,2020,ARL_CN_20,3,ARL_CN_20,308,CC,IM50,45.19666667,31.52,1130.445888
Corn,2020,ARL_CN_20,3,ARL_CN_20,310,CC,FO25,36.25666667,27.08,971.207952
Corn,2020,ARL_CN_20,3,ARL_CN_20,313,CC,IM25,44.04333333,20.09,720.515796
Corn,2020,ARL_CN_20,3,ARL_CN_20,315,CC,FO25,33.98,30.6,1097.45064
Corn,2020,ARL_CN_20,4,ARL_CN_20,403,CC,FO50,25.41666667,19.2,688.59648
Corn,2020,ARL_CN_20,4,ARL_CN_20,408,CC,IM25,37.24666667,36.86,1321.961784
Corn,2020,ARL_CN_20,4,ARL_CN_20,410,CC,IM50,30.57666667,28.58,1025.004552
Corn,2020,ARL_CN_20,4,ARL_CN_20,413,CC,CTRL,29.21666667,19.75,708.3219
Corn,2020,ARL_CN_20,4,ARL_CN_20,415,CC,IM25,37.81666667,13.78,494.211432
Corn,2019,HAV_CN_19,1,HAV_CN_19,103,CC,FO25,8.27,4.8,172.14912
Corn,2019,HAV_CN_19,1,HAV_CN_19,105,CC,FO50,4.976666667,3.9,139.87116
Corn,2019,HAV_CN_19,1,HAV_CN_19,108,CC,CTRL,6.846666667,3.6,129.11184
Corn,2019,HAV_CN_19,1,HAV_CN_19,111,CC,IM25,5.696666667,4.4,157.80336
Corn,2019,HAV_CN_19,1,HAV_CN_19,115,CC,IM50,6.64,1.8,64.55592
