Location,Crop,Year,Site_crop_yr,Rep,EU,Soil,Herb,CC Canopy,CYInjury,Crop Canopy,yield,Stand Count
Havelock,Soybean,2019,HAV_SB_19,1,101,Till,ME25,0,0,11.0525,2839.382333,231845.6539
Havelock,Soybean,2019,HAV_SB_19,1,102,NT+CC,ME50,0,0,6.3625,2875.270244,227471.2076
Havelock,Soybean,2019,HAV_SB_19,1,103,NT,ME50,8.27,0,4.1925,2507.638848,135607.8353
Havelock,Soybean,2019,HAV_SB_19,1,104,Till,CL25,0,1,9.125,2699.029974,301836.7947
Havelock,Soybean,2019,HAV_SB_19,1,105,NT,CTRL,4.976666667,0,6.0425,3272.495588,262466.778
Havelock,Soybean,2019,HAV_SB_19,1,106,NT+CC,CL50,0,0,10.1875,3250.864594,306211.241
Havelock,Soybean,2019,HAV_SB_19,1,107,Till,CTRL,0,0,12.465,3792.154641,306211.241
Havelock,Soybean,2019,HAV_SB_19,1,108,NT+CC,CTRL,6.846666667,0,8.49,3025.722996,293087.9021
Havelock,Soybean,2019,HAV_SB_19,1,109,NT,ME25,0,1,10.045,3670.476132,301836.7947
Havelock,Soybean,2019,HAV_SB_19,1,110,NT,CL25,0,0,10.13,3362.703288,319334.5799
Havelock,Soybean,2019,HAV_SB_19,1,111,Till,ME50,5.696666667,0,12.33,3779.215567,314960.1336
Havelock,Soybean,2019,HAV_SB_19,1,112,NT+CC,CL25,0,2,10.245,3483.024876,319334.5799
Havelock,Soybean,2019,HAV_SB_19,1,113,Till,CL50,0,0,13.6725,3335.9777,314960.1336
Havelock,Soybean,2019,HAV_SB_19,1,114,NT+CC,ME25,0,0,11.06,3338.561613,310585.6873
Havelock,Soybean,2019,HAV_SB_19,1,115,NT,CL50,6.64,0,10.335,3483.377211,306211.241
Havelock,Soybean,2019,HAV_SB_19,2,201,Till,ME50,0,0,11.1175,3249.626705,288713.4558
Havelock,Soybean,2019,HAV_SB_19,2,202,NT+CC,CTRL,0,0,9.3425,2440.167436,253717.8854
Havelock,Soybean,2019,HAV_SB_19,2,203,NT,ME50,7.736666667,0,7.6,3154.808011,253717.8854
Havelock,Soybean,2019,HAV_SB_19,2,204,Till,CL50,0,0,12.0175,2807.517769,284339.0095
Havelock,Soybean,2019,HAV_SB_19,2,205,NT,CL25,8.036666667,0,7.815,3372.411291,271215.6706
Havelock,Soybean,2019,HAV_SB_19,2,206,NT+CC,CL50,0,0,10.3825,3199.401289,258092.3317
Havelock,Soybean,2019,HAV_SB_19,2,207,Till,CTRL,0,0,10.99,3424.122672,279964.5632
Havelock,Soybean,2019,HAV_SB_19,2,208,NT+CC,CL25,6.436666667,0,8.79,3380.077646,314960.1336
Havelock,Soybean,2019,HAV_SB_19,2,209,NT,ME25,0,0,11.205,3671.640248,310585.6873
Havelock,Soybean,2019,HAV_SB_19,2,210,NT,CL50,0,0,10.195,3498.040438,328083.4725
Havelock,Soybean,2019,HAV_SB_19,2,211,Till,ME25,6.043333333,0,12.67,3502.807765,288713.4558
Havelock,Soybean,2019,HAV_SB_19,2,212,NT+CC,ME25,0,0,10.3375,3617.527296,314960.1336
Havelock,Soybean,2019,HAV_SB_19,2,213,Till,CL25,0,0,13.125,3537.85173,288713.4558
Havelock,Soybean,2019,HAV_SB_19,2,214,NT+CC,ME50,0,0,10.7675,2934.806597,288713.4558
Havelock,Soybean,2019,HAV_SB_19,2,215,NT,CTRL,4.523333333,0,11.3075,3534.965654,323709.0262
Havelock,Soybean,2019,HAV_SB_19,3,301,Till,CTRL,0,0,9.27,2806.531329,249343.4391
Havelock,Soybean,2019,HAV_SB_19,3,302,NT+CC,CL50,0,0,7.1575,3085.05294,249343.4391
Havelock,Soybean,2019,HAV_SB_19,3,303,NT,CL50,6.523333333,0,9.335,2802.524771,306211.241
Havelock,Soybean,2019,HAV_SB_19,3,304,Till,ME25,0,0,8.3775,3353.516205,236220.1002
Havelock,Soybean,2019,HAV_SB_19,3,305,NT,ME50,4.31,4,6.22,3023.437241,253717.8854
Havelock,Soybean,2019,HAV_SB_19,3,306,NT+CC,ME25,0,0,9.6475,3777.470542,297462.3484
